[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-6][2018-03-28 17:24:37][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=40
 [INFO][pool-1-thread-9][2018-03-28 17:24:37][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=35
 [INFO][pool-1-thread-10][2018-03-28 17:24:37][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=38
 [INFO][pool-1-thread-8][2018-03-28 17:24:37][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=39
 [INFO][pool-1-thread-4][2018-03-28 17:24:37][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=41
 [INFO][pool-1-thread-7][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=42
 [INFO][pool-1-thread-3][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=43
 [INFO][pool-1-thread-2][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=45
 [INFO][pool-1-thread-5][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=44
 [INFO][pool-1-thread-9][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=48
 [INFO][pool-1-thread-1][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=46
 [INFO][pool-1-thread-10][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=49
 [INFO][pool-1-thread-6][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=47
 [INFO][pool-1-thread-8][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=50
 [INFO][pool-1-thread-4][2018-03-28 17:24:42][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=51
 [INFO][pool-1-thread-7][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=52
 [INFO][pool-1-thread-3][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=53
 [INFO][pool-1-thread-2][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=54
 [INFO][pool-1-thread-5][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=55
 [INFO][pool-1-thread-10][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=58
 [INFO][pool-1-thread-9][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=56
 [INFO][pool-1-thread-4][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=61
 [INFO][pool-1-thread-1][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=57
 [INFO][pool-1-thread-8][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=60
 [INFO][pool-1-thread-6][2018-03-28 17:24:47][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=59
 [INFO][pool-1-thread-7][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=62
 [INFO][pool-1-thread-5][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=65
 [INFO][pool-1-thread-2][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=64
 [INFO][pool-1-thread-10][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=66
 [INFO][pool-1-thread-1][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=67
 [INFO][pool-1-thread-4][2018-03-28 17:24:53][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=69
